Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52791","Architecture (ARCH) Open Sections"," 409","101","Special Topics Arch","LEC","PDR","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Clancy","  20","  19","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","54404","Architecture (ARCH) Open Sections"," 409","104","Special Topics Arch","LEC","PDR","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cho","   7","   7","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","54465","Architecture (ARCH) Open Sections"," 409","105","Special Topics Arch","LEC","P R","M","","W","","","","","05/06/2025","06/20/2025","10-1PM","2210 A&AB","Mankouche","   6","   6","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52792","Architecture (ARCH) Open Sections"," 409","102","Special Topics Arch","LEC","PDR","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Mavaracchio","  20","  20","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52793","Architecture (ARCH) Open Sections"," 409","103","Special Topics Arch","LEC","PDR","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Stanek","  20","  20","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52794","Architecture (ARCH) Open Sections"," 506","101","Spec Topc Theor&Meth","LEC","PD ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Clancy","  20","  19","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52795","Architecture (ARCH) Open Sections"," 506","102","Spec Topc Theor&Meth","LEC","PD ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Mavaracchio","  20","  20","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52796","Architecture (ARCH) Open Sections"," 506","103","Spec Topc Theor&Meth","LEC","PD ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Stanek","  20","  20","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","54466","Architecture (ARCH) Open Sections"," 509","101","Experimental Course","SEM","P  ","M","","W","","","","","05/06/2025","06/20/2025","10-1PM","ARR","Mankouche","   9","   8","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52772","Urban Technology (UT) Open Sections"," 102","101","Anatomy of the City","SEM","P R","","T","","TH","","","","05/06/2025","06/20/2025","9-12PM","1360 A&AB","D'Anieri","  50","  50","N","3.00",
"Spring 2025","Regular Academic Session","Architecture & Urban Planning","52773","Urban Technology (UT) Open Sections"," 103","101","The Incomplete City","SEM","P R","M","","W","","","","","05/06/2025","06/20/2025","9-12PM","1360 A&AB","Kutil, Wizinsky","  50","  50","N","3.00",
"Spring 2025","Regular Academic Session","Dentistry","51304","Dentistry (DENT) Open Sections"," 520","102","Clinical Found I","LEC","P R","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","McLean","   2","   2","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","51041","Dentistry (DENT) Open Sections"," 545","101","Head & Neck Anatomy","SEM","P R","M","","W","","","","","05/06/2025","06/20/2025","8-12PM","ARR","Cortright"," 120"," 120","N","2.50",
"Spring 2025","Regular Academic Session","Dentistry","51069","Dentistry (DENT) Open Sections"," 545","102","Head & Neck Anatomy","SEM","P R","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","   5","   5","N","2.50",
"Spring 2025","Regular Academic Session","Dentistry","51303","Dentistry (DENT) Open Sections"," 631","101","Clinical Foundations II","LAB","P R","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","   2","   2","N","5.00",
"Spring 2025","Regular Academic Session","Dentistry","52835","Dentistry (DENT) Open Sections"," 650","002","Periodontal Surgery","LEC","P R","","","","","","",""," "," ","ARR","ARR",""," 110"," 110","N","0.50-1.00",
"Spring 2025","Regular Academic Session","Dentistry","52522","Dentistry (DENT) Open Sections"," 820R","101","Comprehensive Care Clinic","CLN","P R","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Heys","  50","  50","N","0.00-10.00",
"Spring 2025","Regular Academic Session","Dentistry","50057","Endodontics (ENDODONT) Open Sections"," 652","101","Clin Endodontics","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","McDonald","  25","  21","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Dentistry","54476","Endodontics (ENDODONT) Open Sections"," 655","002","Endo Research","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","McDonald","  25","  21","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","52412","Endodontics (ENDODONT) Open Sections"," 655","101","Endo Research","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","50058","Endodontics (ENDODONT) Open Sections"," 659","101","Current Lit Review","SEM","P  ","M","","","","","","","05/06/2025","06/20/2025","8-10AM","ARR","McDonald","  12","   8","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","50059","Endodontics (ENDODONT) Open Sections"," 660","101","Case  Pres  & Treat","SEM","P  ","","","","","F","","","05/06/2025","06/20/2025","1-3PM","ARR","McDonald","  12","   8","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Dentistry","50060","Hospital Dentistry (HOSPDENT) Open Sections"," 550","101","Hospital Dentistry","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  50","  50","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","50061","Oral Biology (ORALBIOL) Open Sections"," 676","101","Clin Dental Pharm","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  50","  50","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","50062","Oral Biology (ORALBIOL) Open Sections"," 678","101","Stat Meth Oral Biol","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  20","  20","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","50063","Oral Biology (ORALBIOL) Open Sections"," 680","101","Bact Perio Disease","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  20","  20","N","2.00",
"Spring 2025","Regular Academic Session","Dentistry","50064","Oral Biology (ORALBIOL) Open Sections"," 773","101","Directed Research","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  10","  10","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Dentistry","50065","Oral Biology (ORALBIOL) Open Sections"," 776","101","Mamm Tissu&Org Cult","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  10","  10","N","1.00-2.00",
