Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","72400","Architecture (ARCH) Open Sections"," 302","201","SU Int Tran Studio","LAB","P R","M","T","","TH","F","","","06/26/2025","08/12/2025","9-12PM","3100 A&AB","Lomeli","  20","  20","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","72400","Architecture (ARCH) Open Sections"," 302","201","SU Int Tran Studio","LAB","P R","M","T","","TH","","","","06/26/2025","08/12/2025","1-3PM","3100 A&AB","","  20","  20","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","72400","Architecture (ARCH) Open Sections"," 302","201","SU Int Tran Studio","LAB","P R","","","","","F","","","06/26/2025","08/12/2025","1-3PM","3100 A&AB","","  20","  20","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","M","","","","","","","06/26/2025","08/12/2025","10-3PM","3100 A&AB","Penarroyo, Mankouche","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","","T","","","","","","06/26/2025","08/12/2025","10-1PM","3100 A&AB","","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","","","","TH","","","","06/26/2025","08/12/2025","10-3PM","3100 A&AB","","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","","","","","F","","","06/26/2025","08/12/2025","10-1PM","3100 A&AB","","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73438","Architecture (ARCH) Open Sections"," 409","201","Special Topics Arch","LEC","P R","","T","","","","","","06/26/2025","08/12/2025","1-4PM","ARR","Mankouche","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73438","Architecture (ARCH) Open Sections"," 409","201","Special Topics Arch","LEC","P R","","","","","F","","","06/26/2025","08/12/2025","1-4PM","ARR","","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71551","Architecture (ARCH) Open Sections"," 416","202","Design Fundamentals","DIS","P R","","","W","","","","","06/26/2025","08/12/2025","11-1PM","1360 A&AB","Clutter","  50","  50","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71550","Architecture (ARCH) Open Sections"," 416","201","Design Fundamentals","LEC","A  ","","","W","","","","","06/26/2025","08/12/2025","10-11AM","1360 A&AB","Clutter"," "," "," ","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71550","Architecture (ARCH) Open Sections"," 416","201","Design Fundamentals","LEC","A  ","","","","TH","","","","06/26/2025","08/12/2025","3-4PM","1360 A&AB",""," "," "," ","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73439","Architecture (ARCH) Open Sections"," 509","201","Experimental Course","SEM","P  ","","T","","","","","","06/26/2025","08/12/2025","1-4PM","ARR","Mankouche","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73439","Architecture (ARCH) Open Sections"," 509","201","Experimental Course","SEM","P  ","","","","","F","","","06/26/2025","08/12/2025","1-4PM","ARR","","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73443","Architecture (ARCH) Open Sections"," 602","201","Independent Study","IND"," I ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","   1","   1","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","","","","","F","","","06/16/2025","06/20/2025","9-11AM","G390 DENT","Fitzgerald"," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","","","","TH","","","","06/23/2025","06/27/2025","9-11AM","G322 DENT",""," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","","","","TH","","","","07/21/2025","07/25/2025","9-11AM","G322 DENT",""," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","M","","","","","","","07/21/2025","07/25/2025","10-12PM","G322 DENT",""," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","73169","Dentistry (DENT) Open Sections"," 502","201","Evidenced-Based Dent","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Fitzgerald"," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72391","Dentistry (DENT) Open Sections"," 504","201","Intro to Pathways","SEM","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR",""," 110"," 110","N","0.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","72390","Dentistry (DENT) Open Sections"," 505","201","Grand Rounds - D1","LEC","P R","","","","","","",""," "," ","ARR","ARR",""," 110"," 110","N","0.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","72384","Dentistry (DENT) Open Sections"," 509","201","Oralfacial Funct I","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Lombaert"," 140"," 140","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","72707","Dentistry (DENT) Open Sections"," 510","201","Basic Histology","LEC","P R","","T","","","","","","06/16/2025","07/18/2025","1-3PM","G390 DENT","Hortsch"," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72707","Dentistry (DENT) Open Sections"," 510","201","Basic Histology","LEC","P R","","T","","","","","","07/21/2025","08/08/2025","1-3PM","G378 DENT",""," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72707","Dentistry (DENT) Open Sections"," 510","201","Basic Histology","LEC","P R","","","W","","","","","06/16/2025","06/20/2025","2-4PM","G390 DENT",""," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72385","Dentistry (DENT) Open Sections"," 517","201","Intro to Clinic Skills","LEC","P R","","T","","","","","","07/07/2025","07/11/2025","10-11AM","G322 DENT","Nor"," 110"," 110","N","0.50-2.50",
"Summer 2025","Regular Academic Session","Dentistry","72385","Dentistry (DENT) Open Sections"," 517","201","Intro to Clinic Skills","LEC","P R","","","","","F","","","07/07/2025","07/21/2025","1-5PM","G340 DENT",""," 110"," 110","N","0.50-2.50",
"Summer 2025","Regular Academic Session","Dentistry","72385","Dentistry (DENT) Open Sections"," 517","201","Intro to Clinic Skills","LEC","P R","","","","TH","","","","07/28/2025","08/01/2025","8-12PM","G360 DENT",""," 110"," 110","N","0.50-2.50",
"Summer 2025","Regular Academic Session","Dentistry","73414","Dentistry (DENT) Open Sections"," 521","201","Dental Anat & Occlusion","LAB","P R","M","","W","","","","","06/23/2025","08/06/2025","1-4PM","G360 DENT","Duddanahalli Siddanna"," 130"," 130","N","1.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","73414","Dentistry (DENT) Open Sections"," 521","201","Dental Anat & Occlusion","LAB","P R","","","W","","","","","06/16/2025","06/20/2025","1-2PM","G390 DENT",""," 130"," 130","N","1.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","72386","Dentistry (DENT) Open Sections"," 521A","201","Dent Anat Occlus I","LEC","P R","","","","","","",""," "," ","ARR","ARR",""," 110"," 110","N","1.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","73180","Dentistry (DENT) Open Sections"," 524","201","Pathways Program","DIS","P R","","","","","F","","","06/16/2025","06/20/2025","8-9AM","G390 DENT","Chiego Jr"," 115"," 115","N","0.00-5.00",
"Summer 2025","Regular Academic Session","Dentistry","73180","Dentistry (DENT) Open Sections"," 524","201","Pathways Program","DIS","P R","","T","","","","","","06/30/2025","07/04/2025","9-11AM","G322 DENT",""," 115"," 115","N","0.00-5.00",
"Summer 2025","Regular Academic Session","Dentistry","72408","Dentistry (DENT) Open Sections"," 545","201","Head & Neck Anatomy","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Fox, Kingston"," 110"," 110","N","3.25",
"Summer 2025","Regular Academic Session","Dentistry","73047","Dentistry (DENT) Open Sections"," 820R","201","Comprehensive Care Clinic","CLN","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Heys","  50","  50","N","0.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","70053","Dental Hygiene (DHYGRACK) Open Sections"," 682","201","Sem Dentl Hyg","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  10","  10","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","70054","Dental Hygiene (DHYGRACK) Open Sections"," 688","201","Thesis","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  10","  10","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","72847","Endodontics (ENDODONT) Open Sections"," 651","201","Preclin Grad Endo","LAB","P  ","M","","","TH","F","","","06/26/2025","08/12/2025","9-12PM","3307 DENT","McDonald","  10","  10","N","5.00",
"Summer 2025","Regular Academic Session","Dentistry","72847","Endodontics (ENDODONT) Open Sections"," 651","201","Preclin Grad Endo","LAB","P  ","M","","W","TH","F","","","06/26/2025","08/12/2025","1-4PM","3307 DENT","","  10","  10","N","5.00",
"Summer 2025","Regular Academic Session","Dentistry","72847","Endodontics (ENDODONT) Open Sections"," 651","201","Preclin Grad Endo","LAB","P  ","","","W","","","","","06/26/2025","08/12/2025","9-12PM","3307 DENT","","  10","  10","N","5.00",
"Summer 2025","Regular Academic Session","Dentistry","73299","Endodontics (ENDODONT) Open Sections"," 652","101","Clin Endodontics","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","McDonald","  20","  20","N","1.00-4.00",
"Summer 2025","Regular Academic Session","Dentistry","70058","Oral Biology (ORALBIOL) Open Sections"," 678","201","Stat Meth Oral Biol","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00-3.00",
