question_id,question,annotator1_answer,annotator2_answer,f1_score
0,Do dual-degree students have any special constraints on doing an overseas semester while completing both programs?,Dual-degree students need both programs' approvals if courses abroad must count for both.,Dual-degree students need approval from both programs if study abroad courses count toward both degrees.,0.7142857142857142
1,Are there official orientation sessions or pre-departure training that UMSI requires for outbound exchange students?,"UMSI and the Global Engagement Office hold mandatory pre-departure briefings on safety, culture, and academics.","UMSI requires pre-departure sessions on safety, academics, and cultural prep.",0.48
2,What are some common pitfalls that can delay a student's graduation if they fail to plan carefully for abroad courses?,"Delay risks include courses not transferring properly or missing required BSI/MSI classes, so plan thoroughly.",Graduation can be delayed if required courses aren’t completed or credits don’t transfer.,0.21428571428571427
3,How does the credit conversion process work if the host university uses a different credit or grading system?,"Conversions vary by country; U-M sets equivalencies. You often need at least a ""C"" or equivalent to earn transfer credit.",U-M converts grades based on country standards; a “C” or higher is usually needed.,0.2941176470588235
4,Can students do a second study abroad or short-term exchange after returning from a prior international program?,"Yes, if scheduling and credits allow. Some do a full semester exchange first, then a separate short immersion later.","Yes, students can study abroad more than once if their schedule allows.",0.12903225806451615
5,"Which academic or cultural celebrations does UMSI host annually, such as Lunar New Year or Diwali events?","UMSI hosts a Lunar New Year celebration, among others, often supported by student orgs and OCC.",UMSI hosts events like Lunar New Year with help from student orgs and OCC.,0.6000000000000001
6,Are there any living-learning communities affiliated with the School of Information for undergraduates?,"There's no dedicated living-learning dorm for BSI, but some undergrads join communities like the Michigan Learning Communities.","BSI students can join general U-M learning communities, though none are UMSI-specific.",0.27586206896551724
7,Does UMSI provide secure lockers or equipment checkouts for students who need specialized gear?,Equipment checkout or lockers vary by building; some labs have specific gear for class projects.,Some labs offer lockers or gear checkout for project use.,0.56
8,Are there designated quiet study areas for students who prefer minimal noise while working on assignments?,Certain floors or corners in North Quad are designated quiet zones; check posted signage.,Quiet zones exist in North Quad; check signs to locate them.,0.4799999999999999
9,Does the university's central campus have easily accessible counseling and mental health services for grad students?,CAPS is at multiple campus locations. Graduate students can also use Wolverine Wellness or UHS mental health services.,"Grad students can access mental health care through CAPS, UHS, or Wellness.",0.5333333333333333
10,How do BSI students stay connected to each other if they're often spread among different campus buildings?,"BSI students keep in touch via Slack channels, group assignments, and events at North Quad or 777 N. University.","BSI students connect via Slack, group work, and common areas like North Quad.",0.5
11,Which local or campus-wide resources are recommended for stress management or personal well-being?,"The university offers workshops on mindfulness and time management, plus a well-being app for students.",U-M offers well-being apps and stress workshops for students.,0.5
12,"Does UMSI host student appreciation events like coffee breaks, free lunches, or ""de-stress"" weeks?","UMSI sponsors coffee breaks and stress-buster events, especially around midterms and finals.",Coffee breaks and wellness events are common around exams.,0.4761904761904762
13,Are there affordable on-campus or near-campus housing options that UMSI students commonly use?,Central campus dorms or off-campus apartments near Maynard or State Street are popular for BSI and MSI.,Many BSI/MSI students live in dorms or apartments near State or Maynard.,0.4827586206896552
14,"Does UMSI facilitate meetups for diverse student identities, such as international students or student parents?",Various student identity groups meet up for lunches or events; UMSI fosters inclusive programming.,"UMSI hosts inclusive meetups for diverse identities, including parents and internationals.",0.23999999999999996
